T,U,V
1,6017,13270
2,8049,17127
3,8551,17814
4,6720,16000
5,7391,18026
6,8045,17877
7,5814,13214
8,4954,10321
9,5564,12365
10,7160,15235
11,7345,15301
12,8333,19841
13,5241,12782
14,4606,10236
15,6744,15326
16,5274,10987
17,8331,18512
18,4710,10020
19,5297,11036
20,6440,15333
21,7333,17885
22,8360,18458
23,6781,15412
24,7254,15112
25,5969,13265
26,5008,10654
27,8979,18706
28,6437,15327
29,7672,18103
30,8146,18102
31,4664,10600
32,8151,16981
33,5206,11568
34,9088,19712
35,5388,11225
36,4437,10564
37,4552,11103
38,8093,17984
39,6495,15104
40,8812,18749
